bird_id,species_name,image_path,source_url,source_title,width,height,file_size_mb,source,license,image_number,quality_score
0,African Pied Wagtail,bird_images_wikimedia\bird_00_1_African_Pied_Wagtail.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/African_pied_wagtail_%28Motacilla_aguimp_vidua%29.jpg,File:African pied wagtail (Motacilla aguimp vidua).jpg,4283,2855,2.5645980834960938,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
0,African Pied Wagtail,bird_images_wikimedia\bird_00_2_African_Pied_Wagtail.jpg,https://upload.wikimedia.org/wikipedia/commons/a/aa/African_pied_wagtail_%28Motacilla_aguimp_vidua%29_male_breeding.jpg,File:African pied wagtail (Motacilla aguimp vidua) male breeding.jpg,2151,1434,1.2776899337768555,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
0,African Pied Wagtail,bird_images_wikimedia\bird_00_3_African_Pied_Wagtail.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/African_Pied_Wagtail_%28Motacilla_aguimp_aguimp%29%2C_Richtersveld_NP%2C_Northern_Cape%2C_South_Africa_2.jpg,"File:African Pied Wagtail (Motacilla aguimp aguimp), Richtersveld NP, Northern Cape, South Africa 2.jpg",2048,1536,3.596194267272949,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
0,African Pied Wagtail,bird_images_wikimedia\bird_00_4_African_Pied_Wagtail.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4b/African_PIed_Wagtail_%28Motacilla_aguimp%29_%2846527466692%29.jpg,File:African PIed Wagtail (Motacilla aguimp) (46527466692).jpg,2900,1839,1.9918746948242188,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
0,African Pied Wagtail,bird_images_wikimedia\bird_00_5_African_Pied_Wagtail.jpg,https://upload.wikimedia.org/wikipedia/commons/6/67/African_Pied_Wagtail_%28Motacilla_aguimp%29_calling_..._%2851898738156%29.jpg,File:African Pied Wagtail (Motacilla aguimp) calling ... (51898738156).jpg,4450,2907,2.2458038330078125,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
1,Barn Swallow,bird_images_wikimedia\bird_01_1_Barn_Swallow.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e3/Barn_swallow_taking_a_bath.jpg,File:Barn swallow taking a bath.jpg,3083,1927,2.8081283569335938,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
1,Barn Swallow,bird_images_wikimedia\bird_01_2_Barn_Swallow.jpg,https://upload.wikimedia.org/wikipedia/commons/7/7d/Barn_swallow_in_Montezuma_%2814460%29.jpg,File:Barn swallow in Montezuma (14460).jpg,2396,2844,4.67323112487793,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
1,Barn Swallow,bird_images_wikimedia\bird_01_3_Barn_Swallow.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1d/Barn_Swallow_in_Bakkhali_January_2025_by_Tisha_Mukherjee_01.jpg,File:Barn Swallow in Bakkhali January 2025 by Tisha Mukherjee 01.jpg,3663,2442,2.3695144653320312,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
1,Barn Swallow,bird_images_wikimedia\bird_01_4_Barn_Swallow.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Barn_Swallow_in_Bakkhali_September_2024_by_Tisha_Mukherjee_02.jpg,File:Barn Swallow in Bakkhali September 2024 by Tisha Mukherjee 02.jpg,3464,2309,3.2341670989990234,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
1,Barn Swallow,bird_images_wikimedia\bird_01_5_Barn_Swallow.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8b/Barn_Swallow_in_Bakkhali_January_2025_by_Tisha_Mukherjee_02.jpg,File:Barn Swallow in Bakkhali January 2025 by Tisha Mukherjee 02.jpg,3390,2260,2.038543701171875,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
2,Black Woodpecker,bird_images_wikimedia\bird_02_1_Black_Woodpecker.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1a/Black_woodpecker_%28Dryocopus_martius%29_2020.jpg,File:Black woodpecker (Dryocopus martius) 2020.jpg,2932,3341,1.7774362564086914,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
2,Black Woodpecker,bird_images_wikimedia\bird_02_2_Black_Woodpecker.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e6/Black_woodpecker_%28Dryocopus_martius%29.jpg,File:Black woodpecker (Dryocopus martius).jpg,1067,1213,0.7087593078613281,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
2,Black Woodpecker,bird_images_wikimedia\bird_02_3_Black_Woodpecker.jpg,https://upload.wikimedia.org/wikipedia/commons/5/51/Black_Woodpecker_%28Dryocopus_martius%29%2C_Parc_de_Woluw%C3%A9%2C_Brussels_1.jpg,"File:Black Woodpecker (Dryocopus martius), Parc de Woluwé, Brussels 1.jpg",2624,1714,2.6152467727661133,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
2,Black Woodpecker,bird_images_wikimedia\bird_02_4_Black_Woodpecker.jpg,https://upload.wikimedia.org/wikipedia/commons/4/45/Black_woodpecker_%28Dryocopus_martius_martius%29_male.jpg,File:Black woodpecker (Dryocopus martius martius) male.jpg,1395,1395,1.1013031005859375,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
2,Black Woodpecker,bird_images_wikimedia\bird_02_5_Black_Woodpecker.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Female_black_woodpecker_%2848861795971%29.jpg,File:Female black woodpecker (48861795971).jpg,4000,3000,7.65769100189209,Wikimedia Commons,Free Use (Wikimedia Commons),5,5
3,Black-headed Gull,bird_images_wikimedia\bird_03_1_Black-headed_Gull.jpg,https://upload.wikimedia.org/wikipedia/commons/4/42/Black-headed_Gull_-_St_James_27s_Park_2C_London_-_Nov_2006_edit2.jpg,File:Black-headed Gull - St James 27s Park 2C London - Nov 2006 edit2.jpg,2372,1756,0.5214605331420898,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
3,Black-headed Gull,bird_images_wikimedia\bird_03_2_Black-headed_Gull.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Black-headed_Gulls%2C_London.jpg,"File:Black-headed Gulls, London.jpg",2100,1400,0.2863922119140625,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
3,Black-headed Gull,bird_images_wikimedia\bird_03_3_Black-headed_Gull.jpg,https://upload.wikimedia.org/wikipedia/commons/1/13/Black-headed_Gull_-_St_James%27s_Park%2C_London_-_Nov_2006.jpg,"File:Black-headed Gull - St James's Park, London - Nov 2006.jpg",2372,1756,0.6107244491577148,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
3,Black-headed Gull,bird_images_wikimedia\bird_03_4_Black-headed_Gull.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b2/Black-headed_gull_breeding_plumage.jpg,File:Black-headed gull breeding plumage.jpg,5472,3648,2.2834739685058594,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
3,Black-headed Gull,bird_images_wikimedia\bird_03_5_Black-headed_Gull.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/Black-headed_gull_%28Chroicocephalus_ridibundus%29_chick.jpg,File:Black-headed gull (Chroicocephalus ridibundus) chick.jpg,1717,1145,0.9630165100097656,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
